"Selected Filters: All States | FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)"
""
"Total Funding: $1,316,374,135"
"Number of Grants: 1,387"

"Grantee Name","Grant Number","Program Name","City","State","ZIP Code","County","Congressional District","Award Fiscal Year","Award Funding"
"1St Choice Healthcare, Inc.","H8DCS35406","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Corning","AR","72422-1716","Clay","AR-01","2020","$851,165"
"3Rd Street Community Clinic","H8DCS36664","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Mansfield","OH","44906-2633","Richland","OH-12","2020","$848,960"
"A+ Family Healthcare, Llc","H8DCS36499","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Brownsville","KY","42210-9001","Edmonson","KY-02","2020","$503,000"
"Aaa Comprehensive Healthcare, Inc","H8DCS35790","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","North Hollywood","CA","91605-2803","Los Angeles","CA-29","2020","$580,760"
"Aaron E. Henry Community Health Services Center, Inc.","H8DCS36067","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Clarksdale","MS","38614-4717","Coahoma","MS-02","2020","$828,710"
"Access Community Health Centers, Inc.","H8DCS35528","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Madison","WI","53713-4231","Dane","WI-02","2020","$1,074,995"
"Access Community Health Network","H8DCS36224","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Chicago","IL","60661-1262","Cook","IL-07","2020","$4,241,405"
"Access Family Health Services, Inc.","H8DCS36155","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Smithville","MS","38870-9745","Monroe","MS-01","2020","$672,695"
"Access Health Louisiana","H8DCS35748","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Kenner","LA","70065-4605","Jefferson","LA-01","2020","$1,400,675"
"Achievable Foundation The","H8DCS35794","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Culver City","CA","90230-6971","Los Angeles","CA-37","2020","$535,400"
"Adams County Health Center Inc","H8DCS36225","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Council","ID","83612-5015","Adams","ID-01","2020","$557,690"
"Adapt","H8DCS35819","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Roseburg","OR","97470-3090","Douglas","OR-04","2020","$567,350"
"Adelante Healthcare, Inc.","H8DCS35444","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Phoenix","AZ","85012-2808","Maricopa","AZ-09","2020","$1,841,045"
"Advance Community Health, Inc.","H8DCS36388","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Raleigh","NC","27610-3825","Wake","NC-04","2020","$937,640"
"Advocates For A Healthy Community, Inc.","H8DCS35940","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Springfield","MO","65806-1105","Greene","MO-07","2020","$1,988,555"
"Affinia Healthcare","H8DCS35937","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Saint Louis","MO","63106-3454","St. Louis City","MO-01","2020","$1,709,675"
"Affinity Health Center","H8DCS36257","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Rock Hill","SC","29730-4205","York","SC-05","2020","$693,650"
"Agape Community Health Center, Inc.","H8DCS36016","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Jacksonville","FL","32208-3021","Duval","FL-05","2020","$759,410"
"Aids Action Coalition Of Huntsville","H8DCS35418","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Huntsville","AL","35801-5057","Madison","AL-05","2020","$568,235"
"Ajo Community Health Center","H8DCS35441","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Ajo","AZ","85321-2201","Pima","AZ-03","2020","$551,000"
"Alabama Regional Medical Services","H8DCS35423","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Birmingham","AL","35203-2400","Jefferson","AL-07","2020","$810,920"
"Alameda, County Of","H8DCS35523","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Oakland","CA","94612-3208","Alameda","CA-13","2020","$750,995"
"Albany Area Primary Health Care, Inc","H8DCS36064","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Albany","GA","31707-2983","Dougherty","GA-02","2020","$1,423,235"
"Albuquerque Health Care For The Homeless, Inc.","H8DCS36412","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Albuquerque","NM","87102-1529","Bernalillo","NM-01","2020","$613,700"
"Alcona Citizens For Health, Inc.","H8DCS35496","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Alpena","MI","49707-2929","Alpena","MI-01","2020","$1,003,280"
"Aletheia House, Inc.","H8DCS35410","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Birmingham","AL","35204-1047","Jefferson","AL-07","2020","$568,625"
"Aleutian Pribilof Islands Association, Inc.","H8DCS35381","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Anchorage","AK","99518-1408","Anchorage","AK-00","2020","$506,660"
"Alivio Medical Center, Inc","H8DCS36245","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Chicago","IL","60608-4511","Cook","IL-04","2020","$1,145,270"
"All Care Health Center","H8DCS36084","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Council Bluffs","IA","51501-6441","Pottawattamie","IA-03","2020","$626,420"
"All For Health Health For All","H8DCS35796","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Glendale","CA","91205-1110","Los Angeles","CA-28","2020","$871,910"
"All-Inclusive Community Health Center","H8DCS35727","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Burbank","CA","91504-4236","Los Angeles","CA-28","2020","$702,230"
"Alliance Medical Center, Inc.","H8DCS35606","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Healdsburg","CA","95448-3314","Sonoma","CA-02","2020","$744,770"
"Altamed Health Services Corporation","H8DCS35555","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Commerce","CA","90040-1502","Los Angeles","CA-40","2020","$4,693,970"
"Altapointe Health Systems, Inc.","H8DCS35408","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Mobile","AL","36693-3316","Mobile","AL-01","2020","$516,890"
"Altura Centers For Health","H8DCS35574","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Tulare","CA","93274-2233","Tulare","CA-22","2020","$1,005,335"
"American Indian Health & Services","H8DCS35820","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Santa Barbara","CA","93110-1850","Santa Barbara","CA-24","2020","$627,710"
"Amistad Community Health Center.","H8DCS36493","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Corpus Christi","TX","78410-2238","Nueces","TX-27","2020","$734,210"
"Amite County Medical Services, Inc.","H8DCS36191","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Liberty","MS","39645-7295","Amite","MS-03","2020","$588,440"
"Ammonoosuc Community Health Services Inc","H8DCS36218","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Littleton","NH","03561-3712","Grafton","NH-02","2020","$693,410"
"Amoskeag Health","H8DCS36223","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Manchester","NH","03101-1235","Hillsborough","NH-01","2020","$829,895"
"Ampla Health","H8DCS35625","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Yuba City","CA","95991-4217","Sutter","CA-03","2020","$2,039,045"
"Anchorage Neighborhood Health Center, Inc.","H8DCS35379","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Anchorage","AK","99503-7174","Anchorage","AK-00","2020","$755,705"
