State,Jurisdiction,Amount
Alabama,Total Allocation,"$1,901,376,504"
,State Share,"$1,786,453,683"
,Jefferson County,"$114,922,821"
Alaska,Total Allocation,"$1,250,000,000"
,State Share,"$1,250,000,000"
Arizona,Total Allocation,"$2,822,569,714"
,State Share,"$1,857,099,389"
,Maricopa County,"$782,717,225"
,Pima County,"$182,753,100"
Arkansas,Total Allocation,"$1,250,000,000"
,State Share,"$1,250,000,000"
California,Total Allocation,"$15,322,206,367"
,State Share,"$9,526,137,621"
,Alameda County,"$291,651,561"
,Contra Costa County,"$201,293,497"
,Fresno County,"$174,345,905"
,Kern County,"$157,087,754"
,Los Angeles County,"$1,751,852,108"
,Orange County,"$554,167,091"
,Riverside County,"$431,117,152"
,Sacramento County,"$270,838,440"
,San Bernardino County,"$380,430,899"
,San Diego County,"$582,547,875"
,San Francisco County,"$153,832,754"
,San Joaquin County,"$132,996,947"
,San Mateo County,"$133,769,122"
,Santa Clara County,"$336,415,539"
,Stanislaus County,"$96,091,702"
,Ventura County,"$147,630,401"
Colorado,Total Allocation,"$2,233,145,460"
,State Share,"$1,673,950,246"
,Adams County,"$90,291,404"
,Arapahoe County,"$114,576,782"
,Denver County,"$126,900,343"
,El Paso County,"$125,712,328"
,Jefferson County,"$101,714,356"
Connecticut,Total Allocation,"$1,382,561,117"
,State Share,"$913,181,962"
,Fairfield County,"$164,614,059"
,Hartford County,"$155,607,621"
,New Haven County,"$149,157,475"
Delaware,Total Allocation,"$1,250,000,000"
,State Share,"$927,233,331"
,New Castle County,"$322,766,669"
Florida,Total Allocation,"$8,328,721,940"
,State Share,"$5,856,159,554"
,Brevard County,"$105,040,554"
,Broward County,"$340,765,195"
,Duval County,"$167,130,913"
,Hillsborough County,"$256,862,512"
,Lee County,"$134,467,831"
,Miami-Dade County,"$474,113,590"
,Orange County,"$243,161,252"
,Palm Beach County,"$261,190,530"
,Pasco County,"$96,665,293"
,Pinellas County,"$170,139,515"
,Polk County,"$126,475,603"
,Volusia County,"$96,549,598"
Georgia,Total Allocation,"$4,117,266,353"
,State Share,"$3,503,081,996"
,Cobb County,"$132,646,720"
,DeKalb County,"$132,499,439"
,Fulton County,"$185,659,967"
,Gwinnett County,"$163,378,230"
Hawaii,Total Allocation,"$1,250,000,000"
,State Share,"$862,823,979"
,Honolulu County,"$387,176,021"
Idaho,Total Allocation,"$1,250,000,000"
,State Share,"$1,250,000,000"
Illinois,Total Allocation,"$4,913,928,948"
,State Share,"$3,519,156,999"
,Cook County,"$898,729,990"
,DuPage County,"$161,052,283"
,Kane County,"$92,905,805"
,Lake County,"$121,547,296"
,Will County,"$120,536,576"
Indiana,Total Allocation,"$2,610,646,554"
,State Share,"$2,442,324,311"
,Marion County,"$168,322,243"
Iowa,Total Allocation,"$1,250,000,000"
,State Share,"$1,250,000,000"
Kansas,Total Allocation,"$1,250,000,000"
,State Share,"$1,034,052,049"
,Johnson County,"$116,311,034"
,Sedgwick County,"$99,636,917"
Kentucky,Total Allocation,"$1,732,491,935"
,State Share,"$1,598,690,705"
,Jefferson County,"$133,801,230"
Louisiana,Total Allocation,"$1,802,727,754"
,State Share,"$1,802,727,754"
Maine,Total Allocation,"$1,250,000,000"
,State Share,"$1,250,000,000"
Maryland,Total Allocation,"$2,344,417,741"
,State Share,"$1,653,367,701"
,Anne Arundel County,"$101,077,945"
,Baltimore city,"$103,565,657"
